Trade Date,ISIN,Last Trade Price (in Rs.),Last Trade Value (Rs. in lacs),Total Trade Value (Rs. in lacs),Last Trade Yield (YTM) (Annualized) (%),Weighted Average Price  (Rs.),Weighted Average Yield (YTM) (%)
14-Dec-2017,INE110L07013 ,100.7310,5000.00,25000.00,7.1957,100.7310,7.1479
14-Dec-2017,INE053F09GX2 ,110.2500,30.00,60.00,7.6400,110.1900,7.6450
14-Dec-2017,INE603G07017 ,100.0000,6700.00,6700.00,7.9700,100.0000,7.9700
14-Dec-2017,INE572O07349 ,102.8570,500.00,500.00,9.5000,102.8570,9.5000
14-Dec-2017,INE002A08526 ,99.0796,2500.00,15000.00,7.4000,99.0796,7.4000
14-Dec-2017,INE053F07991 ,99.6801,5000.00,13500.00,7.3500,99.6801,7.3500
14-Dec-2017,INE020B07IG5 ,121.4503,10.00,10.00,5.9600,121.4503,5.9600
14-Dec-2017,INE020B08AH8 ,100.8030,900.00,2500.00,7.8100,100.8030,7.8100
14-Dec-2017,INE916DA7LO2 ,100.3974,2500.00,2500.00,7.4500,100.3974,7.4500
14-Dec-2017,INE020B07IA8 ,102.4271,12500.00,12500.00,7.3000,102.4271,7.3000
14-Dec-2017,INE261F08600 ,100.6522,17500.00,17500.00,7.2900,100.6522,7.2900
14-Dec-2017,INE115A07LG9 ,100.0427,2500.00,2500.00,7.4200,100.0427,7.4200
14-Dec-2017,INE001A07PU3 ,100.1498,1000.00,1000.00,7.7000,100.1498,7.7000
14-Dec-2017,INE238A08427 ,99.2341,1000.00,16500.00,8.9800,99.2400,8.9800
14-Dec-2017,INE001A07QO4 ,99.8493,5000.00,5000.00,7.2500,99.8493,7.2500
14-Dec-2017,INE941D07158 ,98.4023,500.00,1000.00,8.2000,98.4023,8.2000
14-Dec-2017,INE261F08873 ,99.9066,7500.00,15000.00,7.1800,99.9066,7.1800
14-Dec-2017,INE115A07MF9 ,99.6555,5000.00,5000.00,7.5500,99.6555,7.5500
14-Dec-2017,INE733E07KI9 ,96.6987,5500.00,8000.00,7.7600,97.4179,7.6735
14-Dec-2017,INE268A07152 ,100.7308,5000.00,5000.00,7.4800,100.7308,7.4800
14-Dec-2017,INE134E08JC3 ,100.5700,5000.00,10000.00,7.3400,100.5700,7.3400
14-Dec-2017,INE001A07PJ6 ,101.1508,500.00,2000.00,7.7932,101.1408,7.7966
14-Dec-2017,INE121A07LP8 ,100.3576,2500.00,7500.00,7.1800,100.3576,7.1800
14-Dec-2017,INE115A07LH7 ,100.1362,2500.00,10000.00,7.6300,100.1362,7.6300
14-Dec-2017,INE020B08AQ9 ,99.4000,1000.00,20300.00,7.7839,99.9463,7.7039
14-Dec-2017,INE020B08AC9 ,98.1899,1500.00,2500.00,7.8200,98.1899,7.8200
14-Dec-2017,INE020B08AI6 ,100.1064,500.00,1000.00,7.3600,100.1064,7.3600
14-Dec-2017,INE115A07GV8 ,126.0421,4000.00,5000.00,6.6001,126.0421,6.6001
14-Dec-2017,INE148I07GK5 ,103.5535,10.00,10.00,8.2500,103.5535,8.2500
14-Dec-2017,INE062A08140 ,99.4318,2500.00,2500.00,8.5500,99.4318,8.5500
14-Dec-2017,INE053F07538 ,117.5903,5000.00,10000.00,5.6000,117.5903,5.5950
14-Dec-2017,INE134E07190 ,109.3829,3700.00,7400.00,5.6000,109.3829,5.5950
14-Dec-2017,INE261F08907 ,98.9308,2500.00,7500.00,7.4000,98.9308,7.4000
14-Dec-2017,INE053F09HU6 ,114.8685,2500.00,5000.00,5.6000,114.8685,5.5950
14-Dec-2017,INE134E07208 ,118.8990,2320.00,4640.00,5.6000,118.8990,5.5950
14-Dec-2017,INE053F09HT8 ,106.6610,1000.00,2000.00,5.6000,106.6610,5.5950
14-Dec-2017,INE134E08GQ9 ,102.1136,2500.00,7500.00,7.4400,102.1136,7.4400
14-Dec-2017,INE020B08AP1 ,99.6110,5000.00,5000.00,7.5400,99.6110,7.5400
14-Dec-2017,INE261F08899 ,99.7642,10000.00,10000.00,7.1800,99.7642,7.1800
14-Dec-2017,INE001A07QW7 ,99.8563,2500.00,40000.00,7.4800,99.8448,7.4944
14-Dec-2017,INE020B08AG0 ,99.8251,2500.00,26000.00,7.0000,99.8118,7.0000
14-Dec-2017,INE020B08963 ,102.2500,10.00,10.00,7.7100,102.2500,7.7100
14-Dec-2017,INE121A08LY8 ,109.2700,5.00,15.00,9.6000,108.8400,9.7500
14-Dec-2017,INE121A08LW2 ,109.2200,5.00,15.00,9.6000,108.7533,9.7500
14-Dec-2017,INE756I07BS9 ,99.3465,5000.00,10000.00,7.7900,99.3464,7.7900
14-Dec-2017,INE916DA7KR7 ,100.1923,2500.00,2500.00,7.4500,100.1923,7.4500
14-Dec-2017,INE134E08HV7 ,101.9941,2500.00,2500.00,7.4900,101.9941,7.4900
14-Dec-2017,INE445L08326 ,100.4840,15000.00,15000.00,7.4500,100.4840,7.4500
14-Dec-2017,INE115A07LX4 ,99.7008,500.00,500.00,7.7400,99.7008,7.7400
14-Dec-2017,INE238A08443 ,99.0948,2500.00,2500.00,8.9700,99.0948,8.9700
14-Dec-2017,INE053F07AB5 ,96.6184,1000.00,2500.00,7.7800,96.6184,7.7800
14-Dec-2017,INE121A08ND8 ,112.5900,50.00,50.00,9.6500,112.5900,9.6500
14-Dec-2017,INE261F08501 ,100.5430,5000.00,5000.00,6.8500,100.5430,6.8500
14-Dec-2017,INE134E08HM6 ,100.5340,7500.00,27500.00,6.8500,100.5354,6.8500
14-Dec-2017,INE062A08124 ,101.2935,2500.00,2500.00,8.5500,101.2935,8.5500
14-Dec-2017,INE752E07FC2 ,105.0429,225.00,700.00,7.3900,105.0423,7.3900
14-Dec-2017,INE001A07QN6 ,99.8603,5000.00,19500.00,7.6000,99.8447,7.6000
14-Dec-2017,INE752E07OF7 ,96.7566,3000.00,13000.00,7.7800,99.2592,7.3988
14-Dec-2017,INE001A07QR7 ,102.1681,5000.00,5000.00,7.8000,102.1681,7.8000
14-Dec-2017,INE202B07IO3 ,102.0895,500.00,1000.00,8.7500,102.0895,8.7500
14-Dec-2017,INE001A07OO9 ,102.6792,1000.00,4000.00,7.7500,102.6792,7.7500
14-Dec-2017,INE923L07142 ,100.1328,500.00,1000.00,6.0000,100.1278,6.0003
14-Dec-2017,INE134E08JF6 ,99.3700,100.00,100.00,7.5000,99.3700,7.5000
14-Dec-2017,INE587O07065 ,100.0000,1500.00,1500.00,9.5900,100.0000,9.5900
14-Dec-2017,INE252T07024 ,100.3544,3000.00,3000.00,10.4700,100.3544,10.4700
14-Dec-2017,INE949L08194 ,100.0593,1400.00,1400.00,8.9080,100.0593,8.9080
14-Dec-2017,INE115A07IF7 ,102.0952,1500.00,1500.00,7.8700,102.0952,7.8700
14-Dec-2017,INE850M07079 ,100.3717,4500.00,4500.00,8.8470,100.3717,8.8470
14-Dec-2017,INE202B07IN5 ,101.3067,10.00,1040.00,8.7300,101.7556,8.6266
14-Dec-2017,INE115D07019 ,98.7200,190.00,190.00,8.0406,98.7200,8.0406
14-Dec-2017,INE306N08268 ,100.6400,70.00,70.00,8.5000,100.6400,8.5000
14-Dec-2017,INE539K08179 ,102.6300,100.00,130.00,8.3500,102.6231,8.3500
14-Dec-2017,INE002A08476 ,97.8543,10000.00,22500.00,7.5400,97.8626,7.5378
14-Dec-2017,INE093J07KV0 ,129.0000,25.00,50.00,0.0000,123.2500,0.0000
14-Dec-2017,INE134E08IH4 ,99.9849,1000.00,1000.00,7.4800,99.9849,7.4800
14-Dec-2017,INE434A08075 ,100.2500,150.00,550.00,7.9300,100.3773,7.9144
14-Dec-2017,INE752E07OG5 ,96.1357,2000.00,4510.00,7.7700,96.1350,7.7701
14-Dec-2017,INE414G07BS9 ,101.2379,750.00,750.00,8.3200,101.2379,8.3200
14-Dec-2017,INE134E08HN4 ,100.6689,11000.00,11000.00,6.8500,100.6689,6.8500
14-Dec-2017,INE755K07157 ,103.6574,450.00,450.00,8.2200,103.6574,8.2200
14-Dec-2017,INE886I07030 ,99.6733,800.00,800.00,8.6300,99.6733,8.6300
14-Dec-2017,INE945S07058 ,99.4943,480.00,480.00,8.4400,99.4943,8.4400
14-Dec-2017,INE906B07FT4 ,99.3071,100.00,100.00,7.4352,99.3071,7.4352
14-Dec-2017,INE558T07024 ,98.9719,4000.00,4000.00,9.2375,98.9719,9.2375
14-Dec-2017,INE053F07AA7 ,97.9800,340.00,5360.00,7.7911,99.9296,7.4925
14-Dec-2017,INE774D08MK5 ,98.2210,40.00,40.00,8.2650,98.2210,8.2650
14-Dec-2017,INE248U07681 ,109.9090,1300.00,1300.00,9.0000,109.9090,9.0000
14-Dec-2017,INE248U07608 ,110.2190,400.00,400.00,9.0000,110.2190,9.0000
14-Dec-2017,INE248U07632 ,110.0110,1000.00,1000.00,9.0000,110.0110,9.0000
14-Dec-2017,INE248U07640 ,109.8190,1500.00,1500.00,9.0000,109.8190,9.0000
14-Dec-2017,INE248U07657 ,109.8060,1800.00,1800.00,9.0000,109.8060,9.0000
14-Dec-2017,INE248U07665 ,109.8050,3000.00,3000.00,9.0000,109.8050,9.0000
14-Dec-2017,INE248U07673 ,109.6450,3200.00,3200.00,9.0000,109.6450,9.0000
14-Dec-2017,INE248U07699 ,109.3840,1950.00,1950.00,9.0000,109.3840,9.0000
14-Dec-2017,INE248U07707 ,106.3590,300.00,300.00,9.0000,106.3590,9.0000
14-Dec-2017,INE248U07723 ,106.2360,2100.00,2100.00,9.0000,106.2360,9.0000
14-Dec-2017,INE296A08805 ,100.8220,500.00,500.00,8.3000,100.8220,8.3000
14-Dec-2017,INE866I07AZ3 ,100.7044,1750.00,1750.00,7.3914,100.7044,7.3914
14-Dec-2017,INE093J07IW2 ,155.7000,200.00,200.00,0.0000,155.7000,0.0000
14-Dec-2017,INE093J07LE4 ,129.6000,30.00,30.00,0.0000,129.6000,0.0000
14-Dec-2017,INE093J07ON9 ,124.0000,5.00,10.00,0.0000,124.0000,0.0000
14-Dec-2017,INE093J07BF2 ,162.6600,25.00,75.00,0.0000,162.6600,0.0000
14-Dec-2017,INE093J07CN4 ,183.0000,295.00,590.00,0.0000,183.0000,0.0000
14-Dec-2017,INE093J07ER1 ,137.0000,35.00,70.00,0.0000,137.0000,0.0000
14-Dec-2017,INE115A07LM7 ,100.6268,500.00,500.00,7.7500,100.6268,7.7500
14-Dec-2017,INE040A08377 ,100.9209,5000.00,5000.00,8.5600,100.9209,8.5600
14-Dec-2017,INE053F07967 ,99.9443,1000.00,1000.00,7.0000,99.9443,7.0000
14-Dec-2017,INE457A09215 ,96.8300,1000.00,1000.00,11.2500,96.8300,11.2500
14-Dec-2017,INE871D07QS5 ,98.8000,400.00,400.00,8.1080,98.8000,8.1080
14-Dec-2017,INE936D07117 ,99.3061,1000.00,1000.00,7.6800,99.3061,7.6800
14-Dec-2017,INE774D08MA6 ,103.9600,19.12,19.12,8.3100,103.9600,8.3100
14-Dec-2017,INE540P07095 ,104.4140,1950.00,1950.00,8.4500,104.4140,8.4500
14-Dec-2017,INE540P07186 ,100.0000,900.00,900.00,10.1158,100.0000,10.1158
14-Dec-2017,INE540P07244 ,100.0000,500.00,500.00,10.1103,100.0000,10.1103
14-Dec-2017,INE540P07194 ,100.0000,1800.00,2300.00,10.1078,100.0000,10.1121
14-Dec-2017,INE540P07236 ,100.0000,500.00,500.00,10.1052,100.0000,10.1052
14-Dec-2017,INE540P07228 ,100.0000,500.00,500.00,10.1162,100.0000,10.1162
14-Dec-2017,INE540P07269 ,100.0000,500.00,500.00,10.1105,100.0000,10.1105
14-Dec-2017,INE540P07251 ,100.0000,500.00,500.00,10.1112,100.0000,10.1112
14-Dec-2017,INE540P07210 ,100.0000,500.00,500.00,10.1188,100.0000,10.1188
14-Dec-2017,INE540P07202 ,100.0000,500.00,500.00,10.1218,100.0000,10.1218
14-Dec-2017,INE540P07087 ,104.2215,2500.00,2500.00,8.4000,104.2215,8.4000
14-Dec-2017,INE936D07109 ,99.3256,1000.00,1000.00,7.6744,99.3256,7.6744
14-Dec-2017,INE296A08763 ,103.7900,50.00,50.00,8.2600,103.7900,8.2600
14-Dec-2017,INE804I07I55 ,120.5600,175.00,175.00,7.9000,120.5600,7.9000
14-Dec-2017,INE804I07VO4 ,124.2670,150.00,150.00,7.9000,124.2670,7.9000
14-Dec-2017,INE241O07168 ,111.3720,2500.00,2500.00,7.9000,111.3720,7.9000
14-Dec-2017,INE121A08OE4 ,99.9400,1500.00,1500.00,8.7900,99.9400,8.7900
14-Dec-2017,INE296A07PW5 ,99.9095,2500.00,2500.00,7.7700,99.9095,7.7700
14-Dec-2017,INE134E08IW3 ,99.9856,500.00,500.00,7.5000,99.9856,7.5000
14-Dec-2017,INE936D07158 ,98.9718,500.00,500.00,7.9114,98.9718,7.9114
14-Dec-2017,INE936D07133 ,99.3146,1000.00,1000.00,7.8093,99.3146,7.8093
14-Dec-2017,INE936D07141 ,99.3117,1000.00,1000.00,7.8120,99.3117,7.8120
14-Dec-2017,INE975G08256 ,100.9800,20.00,20.00,9.5000,100.9800,9.5000
14-Dec-2017,INE848E07534 ,126.4287,4.00,4.00,6.0300,126.4287,6.0300
14-Dec-2017,INE115A07MQ6 ,100.0000,5000.00,5000.00,7.7432,100.0000,7.7432
14-Dec-2017,INE733E07JV4 ,110.9608,3.00,3.00,6.0200,110.9608,6.0200
14-Dec-2017,INE733E07JY8 ,102.0829,1500.00,1500.00,7.3800,102.0829,7.3800
14-Dec-2017,INE020B07GH7 ,114.5476,11.00,2511.00,6.0200,117.7922,5.6018
14-Dec-2017,INE148I07FO9 ,100.2813,950.00,950.00,6.6808,100.2813,6.6808
14-Dec-2017,INE001A07NH5 ,101.9268,4000.00,4000.00,7.7000,101.9268,7.7000
14-Dec-2017,INE105N07472 ,102.0000,1325.00,1325.00,8.6300,102.0000,8.6300
14-Dec-2017,INE105N07498 ,101.9000,1000.00,1000.00,8.6600,101.9000,8.6600
14-Dec-2017,INE028A08091 ,101.1000,1000.00,1000.00,9.0390,101.1000,9.0390
14-Dec-2017,INE105N07456 ,102.1000,600.00,600.00,8.5800,102.1000,8.5800
14-Dec-2017,INE053F07975 ,100.0495,5000.00,5000.00,7.0000,100.0495,7.0000
14-Dec-2017,INE038A07258 ,105.7020,2000.00,2000.00,7.9293,105.7020,7.9293
14-Dec-2017,INE155A08308 ,100.7343,4000.00,4000.00,7.4600,100.7343,7.4600
14-Dec-2017,INE721A07IO4 ,108.1720,500.00,500.00,8.3825,108.1720,8.3825
14-Dec-2017,INE616U07036 ,99.3787,8500.00,8500.00,8.9450,99.3787,8.9450
14-Dec-2017,INE205A07048 ,101.4682,3500.00,3500.00,8.1036,101.4682,8.1036
14-Dec-2017,INE975G07019 ,100.0400,1500.00,1500.00,9.3000,100.0400,9.3000
14-Dec-2017,INE866I07BF3 ,101.0995,4500.00,20000.00,7.6680,101.0995,7.6153
14-Dec-2017,INE906B07CB9 ,118.8391,3250.00,3250.00,5.6000,118.8391,5.6000
14-Dec-2017,INE923L07076 ,100.1168,1130.00,5200.00,6.0000,100.1168,6.0000
14-Dec-2017,INE923L07068 ,100.1168,1130.00,5200.00,6.0000,100.1168,6.0000
14-Dec-2017,INE923L07092 ,100.1168,1220.00,5600.00,6.0000,100.1168,6.0000
14-Dec-2017,INE923L07100 ,100.1168,1310.00,6000.00,6.0000,100.1168,6.0000
14-Dec-2017,INE923L07084 ,100.1168,1200.00,5500.00,6.0000,100.1168,6.0000
14-Dec-2017,INE923L07134 ,100.1228,5000.00,5000.00,6.0000,100.1228,6.0000
14-Dec-2017,INE923L07118 ,100.1228,6000.00,6000.00,6.0000,100.1228,6.0000
14-Dec-2017,INE923L07126 ,100.1228,5500.00,5500.00,6.0000,100.1228,6.0000
14-Dec-2017,INE206D08188 ,109.0513,20.00,20.00,7.6364,109.0513,7.6364
14-Dec-2017,INE090A08TU6 ,99.9405,1000.00,1000.00,7.6000,99.9405,7.6000
14-Dec-2017,INE804I07VR7 ,134.2670,150.00,150.00,9.0000,134.2670,9.0000
14-Dec-2017,INE008A08U84 ,100.0000,100.00,100.00,10.7300,100.0000,10.7300
14-Dec-2017,INE975G08223 ,100.1000,170.00,170.00,9.4900,100.1000,9.4900
14-Dec-2017,INE756I08090 ,106.0574,1150.00,2300.00,8.3500,106.3337,8.3000
14-Dec-2017,INE163R08843 ,101.1900,480.00,480.00,8.6600,101.1900,8.6600
14-Dec-2017,INE163R08835 ,101.1900,1080.00,1080.00,8.6600,101.1900,8.6600
14-Dec-2017,INE918K07128 ,167.0670,15.00,15.00,0.0000,167.0670,0.0000
14-Dec-2017,INE540P07137 ,101.4135,240.00,240.00,8.3700,101.4135,8.3700
14-Dec-2017,INE752E07OB6 ,102.4700,5000.00,5000.00,7.2502,102.4700,7.2502
14-Dec-2017,INE115A07JF5 ,102.2668,100.00,1000.00,7.7500,102.2668,7.7500
